Dia,Hora,HBV,15 min,01 h,04 h,24 h,96 h
08/02/2003,15:17:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,15:32:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,15:47:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,16:02:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,16:17:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,16:32:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,16:47:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,17:02:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,17:17:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,17:32:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,17:47:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,18:02:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,18:17:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,18:32:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,18:47:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,19:02:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,19:17:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,19:32:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,19:47:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,20:02:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,20:17:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,20:32:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,20:47:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,21:02:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,21:17:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,21:32:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,21:47:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,22:02:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,22:17:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,22:32:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,22:47:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,23:02:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,23:17:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,23:32:00,HBV,0.0,0.0,0.0,0.0,0.0

08/02/2003,23:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,00:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,00:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,00:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,00:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,01:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,01:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,01:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,01:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,02:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,02:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,02:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,02:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,03:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,03:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,03:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,03:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,04:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,04:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,04:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,04:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,05:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,05:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,05:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,05:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,06:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,06:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,06:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,06:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,07:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,07:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,07:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,07:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,08:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,08:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,08:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,08:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,09:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,09:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,09:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,09:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,10:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,10:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,10:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,10:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,11:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,11:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,11:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,11:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,12:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,12:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,12:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,12:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,13:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,13:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,13:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,13:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,14:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,14:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,14:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,14:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,15:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,15:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,15:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,15:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,16:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,16:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,16:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,16:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,17:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,17:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,17:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,17:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,18:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,18:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,18:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,18:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,19:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,19:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,19:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,19:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,20:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,20:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,20:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,20:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,21:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,21:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,21:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,21:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,22:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,22:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,22:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,22:47:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,23:02:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,23:17:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,23:32:00,HBV,0.0,0.0,0.0,0.0,0.0

09/02/2003,23:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,00:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,00:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,00:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,00:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,01:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,01:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,01:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,01:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,02:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,02:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,02:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,02:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,03:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,03:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,03:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,03:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,04:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,04:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,04:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,04:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,05:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,05:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,05:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,05:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,06:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,06:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,06:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,06:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,07:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,07:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,07:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,07:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,08:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,08:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,08:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,08:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,09:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,09:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,09:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,09:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,10:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,10:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,10:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,10:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,11:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,11:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,11:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,11:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,12:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,12:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,12:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,12:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,13:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,13:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,13:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,13:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,14:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,14:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,14:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,14:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,15:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,15:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,15:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,15:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,16:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,16:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,16:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,16:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,17:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,17:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,17:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,17:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,18:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,18:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,18:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,18:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,19:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,19:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,19:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,19:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,20:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,20:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,20:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,20:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,21:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,21:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,21:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,21:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,22:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,22:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,22:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,22:47:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,23:02:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,23:17:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,23:32:00,HBV,0.0,0.0,0.0,0.0,0.0

10/02/2003,23:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,00:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,00:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,00:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,00:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,01:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,01:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,01:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,01:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,02:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,02:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,02:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,02:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,03:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,03:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,03:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,03:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,04:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,04:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,04:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,04:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,05:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,05:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,05:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,05:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,06:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,06:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,06:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,06:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,07:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,07:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,07:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,07:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,08:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,08:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,08:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,08:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,09:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,09:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,09:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,09:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,10:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,10:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,10:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,10:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,11:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,11:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,11:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,11:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,12:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,12:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,12:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,12:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,13:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,13:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,13:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,13:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,14:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,14:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,14:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,14:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,15:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,15:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,15:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,15:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,16:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,16:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,16:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,16:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,17:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,17:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,17:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,17:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,18:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,18:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,18:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,18:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,19:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,19:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,19:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,19:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,20:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,20:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,20:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,20:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,21:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,21:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,21:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,21:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,22:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,22:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,22:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,22:47:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,23:02:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,23:17:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,23:32:00,HBV,0.0,0.0,0.0,0.0,0.0

11/02/2003,23:47:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,00:02:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,00:17:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,00:32:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,00:47:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,01:02:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,01:17:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,01:32:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,01:47:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,02:02:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,02:17:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,02:32:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,02:47:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,03:02:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,03:17:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,03:32:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,03:47:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,04:02:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,04:17:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,04:32:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,04:47:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,05:02:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,05:17:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,05:32:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,05:47:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,06:02:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,06:17:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,06:32:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,06:47:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,07:02:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,07:17:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,07:32:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,07:47:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,08:02:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,08:17:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,08:32:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,08:47:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,09:02:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,09:17:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,09:32:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,09:47:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,10:02:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,10:17:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,10:32:00,HBV,0.0,0.0,0.0,0.0,0.0

12/02/2003,10:47:00,HBV,0.0,0.0,0.0,0.0,0.0

